OCC,mission,region,island,site,year,lat,long,zone,depth,calcifiers,coral,cca,macroalgae,encrusting,halimeda,softcoral,turf,sediment,invertebrate,siteG,siteG_lwr,siteG_upr,islandB,islandB_lwr,islandB_upr,G,G_lwr,G_upr,dnta,dnta_lwr,dnta_upr,BCC,CDP,CVI,DHW_2014,DHW_2015,DHW_2016,DHW_2017,last_year_bleached,maxDHW,bleaching
OCC-PAG-013,HA1701,MARIAN,Pagan,PAG-00022,2017,18.12009257,145.7546882,Forereef,Mid,14.385964912,12.98245614,1.403508772,7.719298246,4.210526316,0,0,70.87719298,2.807017544,0,0.87473684216325,0.7197192982958499,1.05803508778645,0.55217150655383,0.271300504430489,0.833042508677171,0.598651088886335,0.3031980439572644,0.9223848355712054,0.9452555042625774,-6.40591623047294,10.304108606126647,positive,neutral,neutral,8.81999980285764,0,4.58999989740551,7.91999982297421,2017,8.81999980285764,severe
OCC-SAI-002,HA1701,MARIAN,Saipan,SAI-00021,2017,15.29062,145.80942,Forereef,Mid,15.580736546,14.44759207,1.133144476,1.983002833,1.133144476,7.932011331,0,73.37110482,0,0,1.9958498585061502,1.3531303117189504,2.69695467441925,0.114703941358444,0.0560220853634445,0.173385797353444,1.9384978878269281,1.2664374130422285,2.6689436317375277,-3.4005165629375065,-5.56663622216729,-1.3936038757710776,positive,negative,neutral,5.23999988287687,1.02999997697771,4.13999990746379,9.37999979034066,2017,9.37999979034066,severe
OCC-SAI-005,HA1701,MARIAN,Saipan,SAI-00020,2017,15.25867,145.81567,Forereef,Mid,19.543973942,16.93811075,2.605863192,0.325732899,2.931596091,0,0.325732899,76.22149837,0.651465798,0,1.3309446252665,0.9610097718721999,1.7551140063443,0.114703941358444,0.0560220853634445,0.173385797353444,1.273592654587278,0.8743168731954779,1.7271029636625779,10.242787026776947,3.1489527680264473,17.165294143312167,positive,positive,positive,5.23999988287687,1.02999997697771,4.13999990746379,9.37999979034066,2017,9.37999979034066,severe
OCC-SAI-009,HA1701,MARIAN,Saipan,SAI-00005,2017,15.09787828,145.7433839,Forereef,Mid,54.181818186,50.54545455,3.636363636,0,3.272727273,0.363636364,0,41.45454545,0,0.727272727,3.4713090910745,2.9440000001458,4.0907272729149,0.114703941358444,0.0560220853634445,0.173385797353444,3.413957120395278,2.857307101469078,4.062716230233177,13.79581567229684,6.18559490394,22.03642364955067,positive,positive,positive,3.79999991506338,0.799999982118607,3.33999992534518,8.38999981246889,2017,8.38999981246889,severe
OCC-SAI-012,HA1701,MARIAN,Saipan,SAI-00023,2017,15.15639,145.68976,Forereef,Mid,9.310344827,8.620689655,0.689655172,2.75862069,0,1.379310345,0,83.10344828,3.448275862,0,0.6823275861791,0.45267241377570006,0.9379137930628001,0.114703941358444,0.0560220853634445,0.173385797353444,0.624975615499878,0.3659795150989781,0.9099027503810778,8.144015311226326,1.521350206324314,15.023219360374696,positive,positive,positive,4.44999990053475,0.609999986365438,3.56999992020428,8.45999981090426,2017,8.45999981090426,severe
OCC-SAI-016,HA1701,MARIAN,Saipan,SAI-00022,2017,15.25657,145.76756,Forereef,Mid,6.382978723,6.382978723,0,0,0,0,0.911854103,92.70516717,0,0,0.1356382978868001,0.04117021276570011,0.2509270517026001,0.114703941358444,0.0560220853634445,0.173385797353444,0.0782863272075781,-0.04552268591102189,0.22291600902087785,7.455994294111861,1.9442967306727041,12.236497913000221,neutral,positive,neutral,5.06999988667667,0.859999980777502,3.98999991081655,9.04999979771674,2017,9.04999979771674,severe
OCC-KUR-002,RA1903,NWHI,Kure,KUR-00053,2019,28.45291,-178.3471,Forereef,Mid,7.829181494,3.914590747,3.914590747,0,0.355871886,0,0,85.76512456,5.338078292,0.711743772,0.09777581488000002,-0.0049999851199999615,0.20973310886000004,0.0261971962563146,5.97554128716621e-06,0.052388416971342,0.08467721675184273,-0.03119419360567096,0.20973012108935646,269.5538821638532,269.42431768881215,269.67584892807963,neutral,positive,neutral,10.6199997626245,6.99999984353781,2.09999995306134,1.18999997340143,2015,10.6199997626245,severe
OCC-KUR-006,RA1903,NWHI,Kure,KUR-00054,2019,28.43038,-178.2852,Forereef,Mid,23.622047238999997,20.47244094,3.149606299,0.393700787,0,0,0,73.22834646,2.755905512,0,3.21248073246,2.27137823418,4.2401974169,0.0261971962563146,5.97554128716621e-06,0.052388416971342,3.1993821343318425,2.2451840256943294,4.240194429129357,-2.6089253856065775,-3.1531863037926087,-2.1034677569223277,positive,negative,neutral,10.6399997621775,7.18999983929098,1.87999995797873,1.47999996691942,2015,10.6399997621775,severe
OCC-KUR-010,RA1903,NWHI,Kure,KUR-00052,2019,28.385,-178.3409,Forereef,Mid,17.518248174,13.13868613,4.379562044,0,0.364963504,0,0,79.9270073,1.824817518,0.364963504,1.8542148757999997,1.2327916446000002,2.5343242265500003,0.0261971962563146,5.97554128716621e-06,0.052388416971342,1.8411162776718424,1.2065974361143292,2.5343212387793566,0.7101464755504973,0.6279733924479842,0.7865243639803339,positive,positive,positive,10.2899997700006,7.13999984040856,2.20999995060265,1.7799999602139,2015,10.2899997700006,severe
OCC-KUR-013,RA1903,NWHI,Kure,KUR-00051,2019,28.40905,-178.3781,Forereef,Mid,4.844290657,2.76816609,2.076124567,0.346020761,0.346020761,0,0,87.19723183,5.882352941,1.384083045,0.15280288029500005,0.08363331763500008,0.22757798023500003,0.0261971962563146,5.97554128716621e-06,0.052388416971342,0.13970428216684275,0.05743910914932908,0.22757499246435645,2.6104815958058225,2.250086197566816,2.9984532544949616,positive,positive,positive,10.2999997697771,6.85999984666705,2.26999994926155,1.17999997362494,2015,10.2999997697771,severe
